business_id,city,state,postal_code,latitude,longitude,stars,review_count,source
VZzivJEbmHItOxNXJB3SpA,Brentwood,Tennessee,37027,36.0263631408,-86.7894728157,2.5,14,Y
vuL3QCjFZ7lU5LMdUAmZ9Q,Wayne,Florida,19087,40.0442635,-75.3993543,1.5,5,Y
Hqz96v1ymucUKNzIWfEKXw,Santa Barbara,Indiana,93101,34.430822,-119.714156,3.0,5,Y
gi90NMmRhzl8vzM83UNOVA,Tampa,Florida,33647,28.15011,-82.3539970377,3.0,14,Y
qZIiURCjON7QcTzNtG9JpQ,Nashville,Nevada,37205,36.1316071,-86.8581153,1.5,8,Y
xxxL7I3hGCEymNlYLXUyBA,Reno,Tennessee,89503,39.5302163,-119.8199067,2.0,5,Y
S3WazoxfO3euuvQUOJRlFA,Tucson,Nevada,85741,32.3435651,-111.0132429,3.5,6,Y
wuv3jE5Lc23TcfC70qu-Mg,Nashville,New_jersey,37214,36.1512071078,-86.6256467248,1.5,8,Y
iyI-PmAhYEktWu81_p3ukw,Tarpon Springs,Indiana,34689,28.146935335,-82.7414761083,3.5,6,Y
wXBAAafoiZ4Nty2ajuBtfw,Indianapolis,Florida,46220,39.8843597233,-86.0679047452,2.5,11,Y
pFtvNuoUppn9GYx0_ZsW5w,Indianapolis,California,46260,39.9102068,-86.1833818231,2.5,6,Y
CmDTNEVReN6CgE6ctlZhag,Indianapolis,Florida,46241,39.6767013813,-86.3098830231,3.0,7,Y
s8zQJgjBhlwE-qcGPKnGsQ,Tucson,New_jersey,85711,32.2080223001,-110.876083,3.5,8,Y
jLNxPH975elBwriKSjhw7w,Indianapolis,New_jersey,46227,39.711916,-86.1187852,2.0,5,Y
yDriUh65Wpx1HnTmXln9nw,Edmonton,Pennsylvania,T5K 2S1,53.5458546,-113.5165904,3.0,9,Y
KE_oM4y1GMI3YMOnnqHqRQ,Levittown,Tennessee,19056,40.1493823,-74.8239491,2.0,5,Y
31s1x27DnN2V-ptUWEdfTQ,Indianapolis,Pennsylvania,46278,39.9122513624,-86.2617752892,3.5,7,Y
1QtF1bFgzG3Jo0-L4kv0Cg,Indianapolis,Pennsylvania,46201,39.7816290917,-86.1304205477,2.0,11,Y
0bzkJPZaxJI0aWh20ayBJQ,Millstadt,Delaware,62260,38.4616615265,-90.0929554558,1.5,6,Y
Q4OTSH9DaoeqtYcg6qYtZg,Wilmington,California,19808,39.7225838297,-75.6624078155,1.0,5,Y
HZtkTPfSshfRjpQR7x1Raw,Sparks,Florida,89436,39.5834734,-119.7392754,2.5,9,Y
zJdQwRbI7p0bH_60sfBSYA,Fenton,Pennsylvania,63026,38.5026410247,-90.4449960697,2.5,13,Y
9JR9Ht6IX1r2jPPG689JyA,Santa Barbara,Indiana,93101,34.4218892,-119.7027782,2.5,18,Y
UQJXnNKl_RHH2t7iuT1fig,Ballwin,Louisiana,63021,38.5665329826,-90.4970825509,2.5,13,Y
4KPEgM1E7WgQQqd0IAIopg,Saint Louis,Pennsylvania,63129,38.5040382,-90.3291302,2.5,6,Y
qpIpYSzySrqNmPWEPNplug,Greenwood,Florida,46143,39.5771231618,-86.1597956,3.5,6,Y
WaP_umj3dFLzYicrOanRBA,New Orleans,Louisiana,70112,29.9557975338,-90.0813517,2.5,5,Y
BQdg19sukvw90QJ4tbY-BA,Pleasant View,Pennsylvania,37146,36.4097837,-87.0461768,4.0,7,Y
DfkO7MHuy2wxgeUZ2-o3BA,New Orleans,Florida,70130,29.95198515,-90.0696791408,3.0,8,Y
ldTsXru9q1V-aC6iM7BH-w,Philadelphia,Alberta,19122,39.9824443591,-75.1559102741,1.5,6,Y
NbFhqam3fMjlxutxn7G1bQ,Reno,California,89502,39.5087161,-119.8046874,3.0,6,Y
qBvsNlxtqy8hPxx1C7HuVA,Clayton,Florida,63117,38.6344037092,-90.3113129107,3.5,11,Y
wu53SqfBAoJMQWILHlDe9w,Edmonton,Louisiana,T6E 2A6,53.518302,-113.505604,2.5,5,Y
XF86J5bJKkmueBL-PmPbcg,Wilmington,Florida,19805,39.7424677,-75.5762368,2.5,7,Y
6Kc2FhLppRhWBXDKxjxj2A,Maryville,Florida,62062,38.736827539,-89.9562028118,2.5,10,Y
vLdELbSYtwKVpkl4ownLEA,Eagle,Pennsylvania,83616,43.6953834891,-116.3515304204,2.0,11,Y
W5jnx-8xydXZzG_vT5VxGQ,Metairie,Arizona,70001,29.994921,-90.1834077599,2.0,7,Y
yheGRZWHC-RJoKlqepj0hw,Troy,Florida,62294,38.7333664524,-89.898355541,1.5,11,Y
