user_id,business_id,stars,text,year,month,day
XF-Bs5-h0wHWVBfK7WDScA,wQnVwt98pXX0n0Szro_XGg,4.0,"me and my mom usually go here a lot and are satisfied with what we get. the last time we went here we were very angry at our service. the guy taking our order was very rude. my mom asked for a 6 inch tuna sandwich. he put the cheese on, then the tuna. that's supposed to be it until we add our toppings. he proceeded to but extra cheese on without asking. my mom told him he already put cheese on and he responded with ""i know but it makes the sandwich taste better"". once he pulled the sandwich out the toaster, we asked for light mustard and regular amount of mayo. he put it on and didn't spread it, so when we asked for him to spread it he took a piece of lettuce and mixed to mayo and mustard together. he then continued to be rude until me and my mom left. didn't figure out his name but he was a caucasain man around 5'9 with dark hair. hopefully your service will be better than mine 

(btw, he didn't charge us for the extra cheese, which i'm pretty sure is illegal)",2019,9,22
5_eZ1vGz04nRP42y9jqX9A,67QczBNcTAYq8alxqwiZ5g,2.0,"so much for the sub of the day special. gone from the menu at all stores, the server tells me. dumb move, subway. what used to cost me $6.66 now costs $7.98.  not worth a 30% price increase. there are lots of other sandwich shops around, and i'm on the hunt for one!",2019,5,25
pzgJ1swB1S1VLc6yjRu66Q,vLdELbSYtwKVpkl4ownLEA,1.0,i have been coming to this subway for a year.  while their service is slow today it was at a near stand still it took 40 minutes to get through the line and get my sandwich made.  15 minutes from the time i ordered it. then i finally get it i take it back to my office to eat my lunch and it's not even my sandwich.  i get the wrong sandwich after 40 minutes????  unacceptable! i won't be eating there again.,2019,7,9
FS9_6HsWEyUqQ3wn-4GwOw,d-hMYlJ-hMAHSgd3KvYcWg,2.0,"there's a specific worker, tall skinny girl with short curly hair, who should not be working there. i went to buy 2 subs and it took her nearly 35 minutes to make. i was on my lunch break so it barely gave me 10 minutes to eat with my husband until i had to drive back to work. it looks like she was doing it intentionally because she went to the back like 3 times for about 5 minutes. she didn't leave with anything and didn't come back with anything. there was also a line and her coworker didn't even bother helping out, she just stood by the cashier! i would not recommend going to this specific location.",2019,2,6
8s8KfHx2_lDhU2A68LpQ1g,iyI-PmAhYEktWu81_p3ukw,5.0,"the manager here, jen, is amazing!  she is always cheerful and, because i come in on a regular basis, has my sandwich started as soon as she sees me.
love her and this subway!",2019,4,12
0qSiONTUGzTeoYxIi_5Qzw,NFdlTTZrmXejfKyz7v5T3Q,1.0,worst subway ever!!!!  unless you work at nissan and only have time to go to this one don't go.  the person making my sandwich was doing it the way the others do and the indian woman came up changed everything and charged me more and said that is what i asked for when i never even spoke to her.  will not go there again.,2019,5,17
Pj-zJ9pLQDMpTWq9rd3TMA,-O_fh3A0IdvR_sg--mmoPQ,5.0,this is probably my favorite steakhouse in town. the steak sandwhich with cucumbers and banana peppers is fire. don't forget to top it with the oil and vinegar. always go to subway for avibe check,2019,11,4
M5HoGdy-mNOV7EHhxB9P9A,d-hMYlJ-hMAHSgd3KvYcWg,4.0,"i've used this location for at least four years for a quick sandwich, they always exceeded my expectations. am in and out in no time at all. which is pretty sweet as that's one of the reasons am at subway. and as far a value, i'd be hard pressed to think of anyone who could touch there,three dollar deal on a sandwich. i think i've tried all there sandwiches and have enjoyed them all. although this is a pretty busy location, the seating area and rest rooms are always well maintained.",2019,10,31
Vbm0KbsXApDulJV0edQ-Ig,s8zQJgjBhlwE-qcGPKnGsQ,5.0,"great subway! i was impressed with the cleanliness and spaciousness of the store. i went into another subway by the u of a campus and was greeted by a young lady with black saber-tooth-tiger-like spikes coming out of her nose! how can subway allow their employees to look like that?
this subway was clean, quiet, and the people were very professional and sans body piercings that scare you when you first see them. i will return to this store the next time i am in tucson. great service and great people.",2019,3,10
YRC5ski2EfPtU86oNA_hnQ,wXBAAafoiZ4Nty2ajuBtfw,1.0,this subway has the worst service. i went in there today for a caesar wrap and the lady started to prepare it with the wrong chicken. when i told her about it she had an attitude. everyone just seemed to not care there and i definitely won't be going back,2019,6,8
